frame,input.Pitch,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
109,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.529337,-0.020266,0.651474,0.543115,-2.566310,3.612710,3.257510
110,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.533512,0.002857,0.650977,0.539986,-2.581910,3.590110,3.270210
111,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.537294,0.025995,0.650200,0.536544,-2.595710,3.568110,3.283310
112,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.540682,0.049139,0.649136,0.532795,-2.607810,3.546710,3.296810
113,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.543682,0.072272,0.647783,0.528738,-2.618310,3.526010,3.310710
114,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.546298,0.095378,0.646142,0.524368,-2.627210,3.506110,3.324810
115,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.548532,0.118440,0.644210,0.519691,-2.634610,3.486910,3.339110
116,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.550382,0.141449,0.641989,0.514706,-2.640610,3.468510,3.353510
117,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.551855,0.164388,0.639481,0.509408,-2.645210,3.450910,3.367910
118,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.552955,0.187241,0.636678,0.503808,-2.648610,3.434210,3.382310
119,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.553684,0.209996,0.633585,0.497901,-2.650810,3.418310,3.396610
120,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.554045,0.232638,0.630201,0.491692,-2.652010,3.403310,3.410810
121,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.554040,0.255156,0.626527,0.485180,-2.652110,3.389110,3.424810
122,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.553673,0.277534,0.622561,0.478372,-2.651310,3.375810,3.438610
123,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.552950,0.299755,0.618305,0.471267,-2.649610,3.363310,3.452110
124,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.551871,0.321809,0.613760,0.463871,-2.647110,3.351710,3.465310
125,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.550441,0.343685,0.608923,0.456188,-2.643910,3.340910,3.478110
126,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.548666,0.365367,0.603797,0.448220,-2.640010,3.330910,3.490610
