frame,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
116,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.470673,0.470727,0.055769,0.744159,4.439710,0.000000,3.246310
117,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.462975,0.463029,0.074964,0.752089,4.439710,0.000000,3.246310
118,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.455018,0.455072,0.094121,0.759612,4.439710,0.000000,3.246310
119,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.446812,0.446866,0.113224,0.766714,4.439710,0.000000,3.246310
120,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.438359,0.438418,0.132262,0.773394,4.439710,0.000000,3.246310
121,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.429668,0.429727,0.151230,0.779647,4.439710,0.000000,3.246310
122,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.420739,0.420798,0.170112,0.785474,4.439710,0.000000,3.246310
123,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.411579,0.411638,0.188902,0.790868,4.439710,0.000000,3.246310
124,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.402192,0.402251,0.207590,0.795828,4.439710,0.000000,3.246310
125,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.392584,0.392643,0.226164,0.800350,4.439710,0.000000,3.246310
126,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.382760,0.382819,0.244614,0.804431,4.439710,0.000000,3.246310
127,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.372725,0.372785,0.262930,0.808069,4.439710,0.000000,3.246310
128,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.362486,0.362545,0.281100,0.811263,4.439710,0.000000,3.246310
129,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.352047,0.352106,0.299113,0.814012,4.439710,0.000000,3.246310
130,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.341414,0.341473,0.316964,0.816313,4.439710,0.000000,3.246310
131,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.330592,0.330651,0.334638,0.818167,4.439710,0.000000,3.246310
132,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.319592,0.319651,0.352128,0.819567,4.439710,0.000000,3.246310
133,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.308414,0.308473,0.369424,0.820519,4.439710,0.000000,3.246310
134,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.297068,0.297128,0.386520,0.821016,4.439710,0.000000,3.246310
135,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.285556,0.285615,0.403400,0.821066,4.439710,0.000000,3.246310
136,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.273887,0.273946,0.420059,0.820664,4.439710,0.000000,3.246310
137,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.262067,0.262126,0.436487,0.819811,4.439710,0.000000,3.246310
138,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.250106,0.250166,0.452676,0.818503,4.439710,0.000000,3.246310
139,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.238006,0.238065,0.468618,0.816747,4.439710,0.000000,3.246310
140,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.225776,0.225835,0.484301,0.814541,4.439710,0.000000,3.246310
141,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.213422,0.213481,0.499719,0.811885,4.439710,0.000000,3.246310
142,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.200949,0.201008,0.514862,0.808784,4.439710,0.000000,3.246310
143,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.188368,0.188427,0.529720,0.805239,4.439710,0.000000,3.246310
144,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.175680,0.175739,0.544286,0.801252,4.439710,0.000000,3.246310
145,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.162894,0.162953,0.558555,0.796824,4.439710,0.000000,3.246310
146,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.150022,0.150081,0.572517,0.791955,4.439710,0.000000,3.246310
147,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.137069,0.137128,0.586160,0.786654,4.439710,0.000000,3.246310
148,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.124040,0.124100,0.599485,0.780916,4.439710,0.000000,3.246210
149,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.110942,0.111001,0.612476,0.774754,4.439810,0.000000,3.246210
150,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.097784,0.097843,0.625132,0.768163,4.439810,0.000000,3.246110
151,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.084572,0.084631,0.637443,0.761151,4.439810,0.000000,3.246110
152,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.071311,0.071371,0.649404,0.753721,4.439810,0.000000,3.246110
153,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.058013,0.058073,0.661008,0.745876,4.439810,0.000000,3.246110
154,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.044683,0.044742,0.672251,0.737618,4.439810,0.000000,3.246110
