frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
59,True,True,-1.000000,1.000000,0.000000,11.639999,1002.039978,0.000000,420.920990,0.591000,-0.698324,0.698332,-0.111071,-0.111082,-5.500010,0.000000,0.000000,0.000000,340.190002,972.919983,0.000000,785.150940,-60.990997,0.476381,0.000003,0.000003,0.879239,2.291710,0.000000,0.000000
60,True,True,-1.000000,1.000000,0.000000,15.150000,1002.039978,0.000000,420.920990,0.591000,-0.694661,0.694665,-0.132068,-0.132079,-5.500010,0.000000,0.000000,0.000000,346.729980,972.409973,0.000000,784.950989,-60.970997,0.484754,0.000003,0.000003,0.874650,2.291710,0.000000,0.000000
61,True,True,-1.000000,1.000000,0.000000,18.660000,1002.039978,0.000000,420.920990,0.591000,-0.690367,0.690366,-0.152946,-0.152957,-5.500010,0.000000,0.000000,0.000000,353.269989,971.899963,0.000000,784.750977,-60.950996,0.493084,0.000003,0.000003,0.869982,2.291710,0.000000,0.000000
62,True,True,-1.000000,1.000000,0.000000,22.170000,1002.039978,0.000000,420.920990,0.591000,0.685445,-0.685441,0.173683,0.173694,-5.500010,0.000000,0.000000,0.000000,359.809998,971.389954,0.000000,784.550964,-60.931000,0.501370,0.000003,0.000003,0.865233,2.291710,0.000000,0.000000
63,True,True,-1.000000,1.000000,0.000000,25.680000,1002.039978,0.000000,420.920990,0.591000,0.679897,-0.679895,0.194265,0.194275,-5.500010,0.000000,0.000000,0.000000,366.350006,970.880005,0.000000,784.350952,-60.910999,0.509608,0.000003,0.000003,0.860407,2.291710,0.000000,0.000000
64,True,True,-1.000000,1.000000,0.000000,29.189999,1002.039978,0.000000,420.920990,0.591000,0.673736,-0.673729,0.214668,0.214679,-5.499910,0.000000,0.000000,0.000000,372.880005,970.369995,0.000000,784.150940,-60.890999,0.517803,0.000003,0.000003,0.855500,2.291710,0.000000,0.000000
65,True,True,-1.000000,1.000000,0.000000,32.700001,1002.039978,0.000000,420.920990,0.591000,0.666959,-0.666953,0.234877,0.234888,-5.499910,0.000000,0.000000,0.000000,379.410004,969.859985,0.000000,783.950989,-60.870998,0.525949,0.000003,0.000003,0.850516,2.291710,0.000000,0.000000
66,True,True,-1.000000,1.000000,0.000000,36.209999,1002.039978,0.000000,420.920990,0.591000,0.659576,-0.659573,0.254870,0.254881,-5.499910,0.000000,0.000000,0.000000,385.940002,969.349976,0.000000,783.750977,-60.850998,0.534046,0.000003,0.000003,0.845455,2.291710,0.000000,0.000000
67,True,True,-1.000000,1.000000,0.000000,39.719997,1002.039978,0.000000,420.920990,0.591000,0.651589,-0.651594,0.274637,0.274647,-5.499910,0.000000,0.000000,0.000000,392.470001,968.839966,0.000000,783.550964,-60.830997,0.542096,0.000003,0.000003,0.840317,2.291710,0.000000,0.000000
68,True,True,-1.000000,1.000000,0.000000,43.230000,1002.039978,0.000000,420.920990,0.591000,-0.643016,0.643021,-0.294150,-0.294161,-5.499910,0.000000,0.000000,0.000000,399.000000,968.329956,0.000000,783.350952,-60.810997,0.550096,0.000003,0.000003,0.835101,2.291710,0.000000,0.000000
