frame,input.bJump,input.bJumped,input.Yaw,input.DodgeStrafe,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
104,False,False,0.000000,-1.000000,0.000000,1.030000,0.000000,200.220001,1.031000,0.000000,-15.411000,-0.024943,0.003008,-0.008187,0.999651,-0.082810,-0.000310,-0.043110
105,False,False,0.000000,-1.000000,0.000000,1.040000,0.000000,200.089996,1.031000,0.000000,-15.431000,-0.025272,0.003008,-0.008365,0.999641,-0.079510,-0.000310,-0.042410
106,False,False,0.000000,-1.000000,0.000000,1.050000,0.000000,199.959991,1.031000,0.000000,-15.441000,-0.025590,0.003008,-0.008537,0.999632,-0.076310,-0.000310,-0.041710
107,False,False,0.000000,-1.000000,0.000000,1.060000,0.000000,199.830002,1.031000,0.000000,-15.451000,-0.025892,0.003008,-0.008710,0.999622,-0.073210,-0.000310,-0.041010
108,False,False,0.000000,-1.000000,0.000000,1.070000,0.000000,199.699997,1.031000,0.000000,-15.451000,-0.026184,0.003008,-0.008877,0.999613,-0.070210,-0.000310,-0.040310
109,False,False,0.000000,-1.000000,0.000000,1.080000,0.000000,199.569992,1.031000,0.000000,-15.451000,-0.026464,0.003008,-0.009044,0.999604,-0.067410,-0.000310,-0.039610
110,False,False,0.000000,-1.000000,0.000000,1.090000,0.000000,199.440002,1.031000,0.000000,-15.451000,-0.026734,0.003008,-0.009206,0.999596,-0.064710,-0.000310,-0.038910
111,False,False,0.000000,-1.000000,0.000000,1.100000,0.000000,199.309998,1.031000,0.000000,-15.451000,-0.026993,0.003008,-0.009368,0.999587,-0.062110,-0.000310,-0.038210
112,False,False,0.000000,-1.000000,0.000000,1.110000,0.000000,199.179993,1.031000,0.000000,-15.451000,-0.027241,0.003008,-0.009525,0.999579,-0.059610,-0.000310,-0.037610
113,False,False,0.000000,-1.000000,0.000000,1.120000,0.000000,199.050003,1.031000,0.000000,-15.451000,-0.027478,0.003008,-0.009681,0.999571,-0.057210,-0.000310,-0.037010
114,False,False,0.000000,-1.000000,0.000000,1.130000,0.000000,198.919998,1.031000,0.000000,-15.451000,-0.027705,0.003008,-0.009832,0.999563,-0.054910,-0.000310,-0.036410
115,False,False,0.000000,-1.000000,0.000000,1.140000,0.000000,198.789993,1.031000,0.000000,-15.451000,-0.027926,0.003008,-0.009983,0.999556,-0.052710,-0.000310,-0.035810
116,False,False,0.000000,-1.000000,0.000000,1.150000,0.000000,198.659988,1.031000,0.000000,-15.451000,-0.028137,0.003008,-0.010129,0.999548,-0.050610,-0.000310,-0.035210
117,False,False,0.000000,-1.000000,0.000000,1.160000,0.000000,198.529999,1.031000,0.000000,-15.451000,-0.028336,0.003008,-0.010274,0.999541,-0.048510,-0.000310,-0.034610
118,False,False,0.000000,-1.000000,0.000000,1.170000,0.000000,198.399994,1.031000,0.000000,-15.451000,-0.028531,0.003008,-0.010415,0.999534,-0.046510,-0.000310,-0.034010
119,False,False,0.000000,-1.000000,0.000000,1.180000,0.000000,198.269989,1.031000,0.000000,-15.451000,-0.028714,0.003008,-0.010555,0.999527,-0.044610,-0.000310,-0.033410
120,False,False,0.000000,-1.000000,0.000000,1.190000,0.000000,198.139999,1.031000,0.000000,-15.451000,-0.028892,0.003008,-0.010690,0.999521,-0.042810,-0.000310,-0.032810
121,False,False,0.000000,-1.000000,0.000000,1.200000,0.000000,198.009995,1.031000,0.000000,-15.451000,-0.029065,0.003008,-0.010825,0.999514,-0.041110,-0.000310,-0.032210
122,False,False,0.000000,-1.000000,0.000000,1.210000,0.000000,197.879990,1.031000,0.000000,-15.451000,-0.029226,0.003008,-0.010960,0.999508,-0.039410,-0.000310,-0.031710
123,False,False,0.000000,-1.000000,0.000000,1.220000,0.000000,197.750000,1.031000,0.000000,-15.451000,-0.029383,0.003008,-0.011089,0.999502,-0.037810,-0.000310,-0.031210
