frame,input.bJump,input.bJumped,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
95,True,True,-1.000000,1.000000,74.459999,73.750000,209.259995,354.589996,353.559998,-12.259999,-0.492695,0.442480,0.027559,0.748801,-4.090100,3.669700,0.231900
96,True,True,-1.000000,1.000000,77.409996,76.699997,209.149994,354.589996,353.559998,-13.380000,-0.509505,0.457548,0.028504,0.728177,-4.090100,3.669700,0.231900
97,True,True,-1.000000,1.000000,80.360001,79.650002,209.029999,354.589996,353.559998,-14.110000,-0.525835,0.472184,0.029421,0.706876,-4.090100,3.669700,0.231900
98,True,True,-1.000000,1.000000,83.309998,82.599998,208.909988,354.589996,353.559998,-14.580000,-0.541675,0.486378,0.030311,0.684913,-4.090100,3.669700,0.231900
99,True,True,-1.000000,1.000000,86.259995,85.549995,208.789993,354.589996,353.559998,-14.889999,-0.557007,0.500118,0.031174,0.662309,-4.090100,3.669700,0.231900
100,True,True,-1.000000,1.000000,89.209999,88.500000,208.659988,354.589996,353.559998,-15.089999,-0.571821,0.513390,0.032005,0.639083,-4.090100,3.669700,0.231900
101,True,True,-1.000000,1.000000,92.159996,91.449997,208.529999,354.589996,353.559998,-15.219999,-0.586101,0.526181,0.032809,0.615258,-4.090100,3.669700,0.231900
102,True,True,-1.000000,1.000000,95.110001,94.400002,208.399994,354.589996,353.559998,-15.299999,0.599830,-0.538481,-0.033580,-0.590859,-4.090100,3.669700,0.231900
103,True,True,-1.000000,1.000000,98.059998,97.349998,208.269989,354.589996,353.559998,-15.360000,0.612995,-0.550279,-0.034319,-0.565908,-4.090100,3.669700,0.231900
104,True,True,-1.000000,1.000000,101.009995,100.299995,208.139999,354.589996,353.559998,-15.400000,0.625588,-0.561560,-0.035026,-0.540428,-4.090100,3.669700,0.231900
105,True,True,-1.000000,1.000000,103.959999,103.250000,208.009995,354.589996,353.559998,-15.420000,0.637596,-0.572317,-0.035700,-0.514442,-4.090100,3.669700,0.231900
106,True,True,-1.000000,1.000000,106.909996,106.199997,207.879990,354.589996,353.559998,-15.429999,0.649004,-0.582540,-0.036342,-0.487975,-4.090100,3.669700,0.231900
107,True,True,-1.000000,1.000000,109.860001,109.149994,207.750000,354.589996,353.559998,-15.440000,0.659812,-0.592213,-0.036952,-0.461049,-4.090100,3.669700,0.231900
108,True,True,-1.000000,1.000000,112.809998,112.099998,207.619995,354.589996,353.559998,-15.450000,0.669999,-0.601336,-0.037524,-0.433692,-4.090100,3.669700,0.231900
109,True,True,-1.000000,1.000000,115.759995,115.049995,207.489990,354.589996,353.559998,-15.450000,0.679561,-0.609892,-0.038063,-0.405930,-4.090100,3.669700,0.231900
110,True,True,-1.000000,1.000000,118.709999,118.000000,207.360001,354.589996,353.559998,-15.450000,0.688486,-0.617882,-0.038565,-0.377786,-4.090100,3.669700,0.231900
111,True,True,-1.000000,1.000000,121.659996,120.949997,207.229996,354.589996,353.559998,-15.450000,0.696764,-0.625294,-0.039029,-0.349290,-4.090100,3.669700,0.231900
112,True,True,-1.000000,1.000000,124.610001,123.899994,207.099991,354.589996,353.559998,-15.450000,0.704394,-0.632119,-0.039460,-0.320466,-4.090100,3.669700,0.231900
113,True,True,-1.000000,1.000000,127.559998,126.849998,206.970001,354.589996,353.559998,-15.450000,0.711365,-0.638350,-0.039854,-0.291344,-4.090100,3.669700,0.231900
114,True,True,-1.000000,1.000000,130.509995,129.800003,206.839996,354.589996,353.559998,-15.450000,0.717667,-0.643987,-0.040210,-0.261948,-4.090100,3.669700,0.231900
115,True,True,-1.000000,1.000000,133.459991,132.750000,206.709991,354.589996,353.559998,-15.450000,0.723299,-0.649021,-0.040529,-0.232309,-4.090100,3.669700,0.231900
116,True,True,-1.000000,1.000000,136.410004,135.699997,206.580002,354.589996,353.559998,-15.450000,0.728258,-0.653444,-0.040809,-0.202449,-4.090100,3.669700,0.231900
117,True,True,-1.000000,1.000000,139.360001,138.649994,206.449997,354.589996,353.559998,-15.450000,0.732533,-0.657259,-0.041052,-0.172399,-4.090100,3.669700,0.231900
118,True,True,-1.000000,1.000000,142.309998,141.599991,206.319992,354.589996,353.559998,-15.450000,0.736122,-0.660458,-0.041257,-0.142188,-4.090100,3.669700,0.231900
119,True,True,-1.000000,1.000000,145.259995,144.550003,206.190002,354.589996,353.559998,-15.450000,0.739020,-0.663042,-0.041419,-0.111848,-4.090100,3.669700,0.231900
120,True,True,-1.000000,1.000000,148.209991,147.500000,206.059998,354.589996,353.559998,-15.450000,0.741226,-0.665006,-0.041543,-0.081400,-4.090100,3.669700,0.231900
121,True,True,-1.000000,1.000000,151.160004,150.449997,205.929993,354.589996,353.559998,-15.450000,0.742741,-0.666343,-0.041629,-0.050876,-4.090100,3.669700,0.231900
122,True,True,-1.000000,1.000000,154.110001,153.399994,205.799988,354.589996,353.559998,-15.450000,0.743559,-0.667061,-0.041678,-0.020303,-4.090100,3.669700,0.231900
123,True,True,-1.000000,1.000000,157.059998,156.349991,205.669998,354.589996,353.559998,-15.450000,0.743682,-0.667153,-0.041688,0.010285,-4.090100,3.669700,0.231900
124,True,True,-1.000000,1.000000,160.009995,159.300003,205.539993,354.589996,353.559998,-15.450000,0.743111,-0.666619,-0.041656,0.040863,-4.090100,3.669700,0.231900
125,True,True,-1.000000,1.000000,162.959991,162.250000,205.409988,354.589996,353.559998,-15.450000,0.741842,-0.665464,-0.041586,0.071403,-4.090100,3.669700,0.231900
126,True,True,-1.000000,1.000000,165.910004,165.199997,205.279999,354.589996,353.559998,-15.450000,0.739881,-0.663684,-0.041478,0.101878,-4.090100,3.669700,0.231800
127,True,True,-1.000000,1.000000,168.860001,168.149994,205.149994,354.589996,353.559998,-15.450000,0.737227,-0.661283,-0.041332,0.132257,-4.090100,3.669700,0.231800
128,True,True,-1.000000,1.000000,171.809998,171.099991,205.019989,354.589996,353.559998,-15.450000,0.733886,-0.658262,-0.041149,0.162511,-4.090100,3.669700,0.231800
129,True,True,-1.000000,1.000000,174.759995,174.050003,204.889999,354.589996,353.559998,-15.450000,0.729856,-0.654626,-0.040922,0.192614,-4.090100,3.669700,0.231800
130,True,True,-1.000000,1.000000,177.709991,177.000000,204.759995,354.589996,353.559998,-15.450000,0.725141,-0.650380,-0.040658,0.222539,-4.090100,3.669700,0.231800
131,True,True,-1.000000,1.000000,180.659988,179.949997,204.629990,354.589996,353.559998,-15.450000,0.719748,-0.645525,-0.040356,0.252254,-4.090100,3.669700,0.231800
132,True,True,-1.000000,1.000000,183.610001,182.899994,204.500000,354.589996,353.559998,-15.450000,0.713683,-0.640065,-0.040016,0.281731,-4.090100,3.669700,0.231800
133,True,True,-1.000000,1.000000,186.559998,185.849991,204.369995,354.589996,353.559998,-15.450000,0.706950,-0.634007,-0.039638,0.310944,-4.090100,3.669700,0.231800
134,True,True,-1.000000,1.000000,189.509995,188.800003,204.239990,354.589996,353.559998,-15.450000,0.699556,-0.627355,-0.039223,0.339865,-4.090100,3.669700,0.231700
135,True,True,-1.000000,1.000000,192.459991,191.750000,204.110001,354.589996,353.559998,-15.450000,0.691506,-0.620115,-0.038775,0.368474,-4.090100,3.669700,0.231700
136,True,True,-1.000000,1.000000,195.409988,194.699997,203.979996,354.589996,353.559998,-15.450000,0.682806,-0.612298,-0.038290,0.396738,-4.090100,3.669700,0.231700
