frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
90,False,True,True,0.000000,1.000000,-2000.000000,-3919.899902,18.779999,0.000000,1358.290894,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
91,False,True,True,0.000000,1.000000,-2000.000000,-3908.500000,18.779999,0.000000,1368.240967,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
92,False,True,True,0.000000,1.000000,-2000.000000,-3897.020020,18.779999,0.000000,1378.110962,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
93,False,True,True,0.000000,1.000000,-2000.000000,-3885.449951,18.779999,0.000000,1387.890991,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
94,False,True,True,0.000000,1.000000,-2000.000000,-3873.799805,18.779999,0.000000,1397.590942,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
95,False,True,True,0.000000,1.000000,-2000.000000,-3862.069824,18.779999,0.000000,1407.200928,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
96,False,True,True,0.000000,1.000000,-2000.000000,-3850.270020,18.779999,0.000000,1415.830933,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
97,False,True,True,0.000000,1.000000,-2000.000000,-3838.399902,18.779999,0.000000,1424.090942,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
98,False,True,True,0.000000,1.000000,-2000.000000,-3826.459961,18.779999,0.000000,1432.350952,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
99,False,True,True,0.000000,1.000000,-2000.000000,-3814.449951,18.779999,0.000000,1440.610962,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
100,False,True,True,0.000000,1.000000,-2000.000000,-3802.379883,18.779999,0.000000,1448.870972,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
101,False,True,True,0.000000,1.000000,-2000.000000,-3790.239990,18.779999,0.000000,1457.130981,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
102,False,True,True,0.000000,1.000000,-2000.000000,-3778.030029,18.779999,0.000000,1465.390991,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
103,False,True,True,0.000000,1.000000,-2000.000000,-3765.750000,18.779999,0.000000,1473.651001,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
104,False,True,True,0.000000,1.000000,-2000.000000,-3753.399902,18.779999,0.000000,1481.910889,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
105,False,True,True,0.000000,1.000000,-2000.000000,-3740.979980,18.779999,0.000000,1490.170898,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
106,False,True,True,0.000000,1.000000,-2000.000000,-3728.489990,18.779999,0.000000,1498.430908,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
107,False,True,True,0.000000,1.000000,-2000.000000,-3715.929932,18.779999,0.000000,1506.690918,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
108,False,True,True,0.000000,1.000000,-2000.000000,-3703.309814,18.779999,0.000000,1514.950928,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
109,False,True,True,0.000000,1.000000,-2000.000000,-3690.619873,18.779999,0.000000,1523.210938,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
110,False,True,True,0.000000,1.000000,-2000.000000,-3677.859863,18.779999,0.000000,1531.470947,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
111,False,True,True,0.000000,1.000000,-2000.000000,-3665.030029,18.779999,0.000000,1539.730957,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
112,False,True,True,0.000000,1.000000,-2000.000000,-3652.129883,18.779999,0.000000,1547.990967,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
