frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
69,0.000000,681.549988,1000.519958,0.000000,1971.450928,0.921000,0.013932,-0.013921,0.706891,0.707048,0.046610,0.000000,0.000000,0.000000,1364.809937,997.729980,0.000000,3195.230957,-5.061000,-0.042811,0.000003,0.000003,0.999083,-0.201410,0.000000,0.000000
70,0.000000,697.979980,1000.529968,0.000000,1971.450928,0.921000,0.014067,-0.014056,0.706891,0.707043,0.045410,0.000000,0.000000,0.000000,1391.429932,997.690002,0.000000,3194.420898,-5.051000,-0.043647,0.000003,0.000003,0.999047,-0.201410,0.000000,0.000000
71,0.000000,714.409973,1000.539978,0.000000,1971.450928,0.921000,0.014196,-0.014186,0.706891,0.707038,0.044310,0.000000,0.000000,0.000000,1418.039917,997.649963,0.000000,3193.610840,-5.041000,-0.044483,0.000003,0.000003,0.999010,-0.201410,0.000000,0.000000
72,0.000000,730.839966,1000.549988,0.000000,1971.450928,0.921000,0.014326,-0.014315,0.706891,0.707032,0.043210,0.000000,0.000000,0.000000,1444.650024,997.609985,0.000000,3192.801025,-5.031000,-0.045319,0.000003,0.000003,0.998972,-0.201410,0.000000,0.000000
73,0.000000,747.269958,1000.559998,0.000000,1971.450928,0.921000,0.014450,-0.014439,0.706891,0.707027,0.042110,0.000000,0.000000,0.000000,1471.250000,997.570007,0.000000,3191.990967,-5.021000,-0.046155,0.000003,0.000003,0.998934,-0.201410,0.000000,0.000000
74,0.000000,763.700012,1000.570007,0.000000,1971.450928,0.921000,0.014569,-0.014558,0.706891,0.707022,0.041110,0.000000,0.000000,0.000000,1497.839966,997.529968,0.000000,3191.180908,-5.011000,-0.046992,0.000003,0.000003,0.998895,-0.201410,0.000000,0.000000
75,0.000000,780.130005,1000.579956,0.000000,1971.450928,0.921000,0.014687,-0.014677,0.706891,0.707018,0.040110,0.000000,0.000000,0.000000,1524.429932,997.489990,0.000000,3190.370850,-5.001000,-0.047828,0.000003,0.000003,0.998856,-0.201410,0.000000,0.000000
76,0.000000,796.559998,1000.589966,0.000000,1971.450928,0.921000,0.014801,-0.014790,0.706891,0.707013,0.039110,0.000000,0.000000,0.000000,1551.010010,997.449951,0.000000,3189.560791,-4.991000,-0.048664,0.000003,0.000003,0.998815,-0.201410,0.000000,0.000000
77,0.000000,812.989990,1000.599976,0.000000,1971.450928,0.921000,0.014914,-0.014903,0.706891,0.707008,0.038110,0.000000,0.000000,0.000000,1577.579956,997.409973,0.000000,3188.750977,-4.981000,-0.049500,0.000003,0.000003,0.998774,-0.201410,0.000000,0.000000
78,0.000000,829.419983,1000.609985,0.000000,1971.450928,0.921000,0.015022,-0.015011,0.706891,0.707004,0.037110,0.000000,0.000000,0.000000,1604.150024,997.369995,0.000000,3187.940918,-4.971000,-0.050336,0.000003,0.000003,0.998732,-0.201410,0.000000,0.000000
